date,close,source
2012-07-07,6.8083,coinmetrics
2012-07-08,6.7963,coinmetrics
2012-07-09,7.0324,coinmetrics
2012-07-10,7.1786,coinmetrics
2012-07-11,7.1852,coinmetrics
2012-07-12,7.5559,coinmetrics
2012-07-13,7.6309,coinmetrics
2012-07-14,7.5801,coinmetrics
2012-07-15,7.6272,coinmetrics
2012-07-16,8.4934,coinmetrics
2012-07-17,8.7520,coinmetrics
2012-07-18,9.0952,coinmetrics
2012-07-19,8.8795,coinmetrics
2012-07-20,8.5325,coinmetrics
2012-07-21,8.8757,coinmetrics
2012-07-22,8.5066,coinmetrics
2012-07-23,8.5312,coinmetrics
2012-07-24,8.5746,coinmetrics
2012-07-25,8.7693,coinmetrics
2012-07-26,8.8758,coinmetrics
2012-07-27,8.8915,coinmetrics
2012-07-28,8.8426,coinmetrics
2012-07-29,8.7477,coinmetrics
2012-07-30,9.0883,coinmetrics
2012-07-31,9.3210,coinmetrics
2012-08-01,9.5680,coinmetrics
2012-08-02,10.5510,coinmetrics
2012-08-03,10.9159,coinmetrics
2012-08-04,10.9197,coinmetrics
2012-08-05,10.8051,coinmetrics
2012-08-06,10.8694,coinmetrics
2012-08-07,10.9413,coinmetrics
2012-08-08,11.0704,coinmetrics
2012-08-09,11.1037,coinmetrics
2012-08-10,11.4476,coinmetrics
2012-08-11,11.5425,coinmetrics
2012-08-12,11.5926,coinmetrics
2012-08-13,11.9850,coinmetrics
2012-08-14,12.1871,coinmetrics
2012-08-15,13.1701,coinmetrics
2012-08-16,13.4508,coinmetrics
2012-08-17,12.0770,coinmetrics
2012-08-18,11.5775,coinmetrics
2012-08-19,7.8306,coinmetrics
2012-08-20,9.9799,coinmetrics
2012-08-21,9.9030,coinmetrics
2012-08-22,9.7726,coinmetrics
2012-08-23,10.0887,coinmetrics
2012-08-24,10.5940,coinmetrics
2012-08-25,10.5837,coinmetrics
2012-08-26,10.5455,coinmetrics
2012-08-27,10.9004,coinmetrics
2012-08-28,10.9330,coinmetrics
2012-08-29,10.8678,coinmetrics
2012-08-30,10.7277,coinmetrics
2012-08-31,10.1024,coinmetrics
2012-09-01,10.0065,coinmetrics
2012-09-02,10.2261,coinmetrics
2012-09-03,10.4971,coinmetrics
2012-09-04,10.3640,coinmetrics
2012-09-05,11.0255,coinmetrics
2012-09-06,11.1608,coinmetrics
2012-09-07,11.0761,coinmetrics
2012-09-08,11.0433,coinmetrics
2012-09-09,11.0621,coinmetrics
2012-09-10,11.1253,coinmetrics
2012-09-11,11.2681,coinmetrics
2012-09-12,11.3153,coinmetrics
2012-09-13,11.3803,coinmetrics
2012-09-14,11.7301,coinmetrics
2012-09-15,11.7184,coinmetrics
2012-09-16,11.8869,coinmetrics
2012-09-17,11.9083,coinmetrics
2012-09-18,12.2597,coinmetrics
2012-09-19,12.5049,coinmetrics
2012-09-20,12.3672,coinmetrics
2012-09-21,12.3337,coinmetrics
2012-09-22,12.2137,coinmetrics
2012-09-23,12.1655,coinmetrics
2012-09-24,12.1136,coinmetrics
2012-09-25,12.1824,coinmetrics
2012-09-26,12.3198,coinmetrics
2012-09-27,12.3188,coinmetrics
2012-09-28,12.3815,coinmetrics
2012-09-29,12.4048,coinmetrics
2012-09-30,12.3916,coinmetrics
2012-10-01,12.3894,coinmetrics
2012-10-02,12.8072,coinmetrics
2012-10-03,12.9554,coinmetrics
2012-10-04,12.8624,coinmetrics
2012-10-05,12.7522,coinmetrics
2012-10-06,12.5051,coinmetrics
2012-10-07,11.8740,coinmetrics
2012-10-08,11.7333,coinmetrics
2012-10-09,11.8287,coinmetrics
2012-10-10,12.1092,coinmetrics
2012-10-11,12.0676,coinmetrics
2012-10-12,12.0281,coinmetrics
2012-10-13,11.9268,coinmetrics
